"Object Name","Object Type","Location","Cluster Location","SLA Domain","Protected On","Total Local Storage (GB)","Total Archive Storage (GB)","Local Storage Growth (MB/day)","Archive Storage Growth (MB/day)"
"eagpvmvc01","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","2017-10-11 08:48:08","129.2","0.0","-168.5","0.0"
"eagpvmvcweb","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","2017-10-11 08:48:08","38.3","0.0","-31.0","0.0"
"eagmutlwsus","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","2017-10-06 15:16:14","192.9","0.0","-0.0","0.0"
"eagmmail01","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","2017-10-06 15:16:15","53.6","0.0","73.9","0.0"
"eagwjhosford","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","2017-10-09 07:55:38","38.3","0.0","-210.4","0.0"
"eagwdgwozdz","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","2017-10-09 07:55:38","105.0","0.0","53.7","0.0"
"eagmscrt01","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","2017-10-06 15:16:14","34.7","0.0","-25.9","0.0"
"eagpvrops01","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","2017-10-09 13:05:21","221.8","0.0","-0.0","0.0"
"eagwclund","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","2017-10-09 07:55:38","73.1","0.0","-37.3","0.0"
"eagmxms01","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","Unprotected","2018-02-16 13:30:13","0.0","0.0","0.0","0.0"
"eagmesrsve01","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","2017-10-09 13:05:21","1.3","0.0","0.0","0.0"
"eagmbrocadesan","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","2017-10-06 15:16:14","19.2","0.0","-4.7","0.0"
"eagmvraut01","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","2017-10-09 13:05:21","62.9","0.0","402.5","0.0"
"eagmvrbiz01","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","2017-10-09 13:05:21","17.1","0.0","28.1","0.0"
"eagmvrin01","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","2017-10-09 13:05:21","3.1","0.0","-1.6","0.0"
"eagmiaas01","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","2017-10-06 15:16:15","18.1","0.0","-17.3","0.0"
"eagmpassmgmt","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","2017-10-06 15:16:15","27.0","0.0","-14.5","0.0"
"eagmnlvca","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","2017-10-11 08:48:08","11.2","0.0","5.1","0.0"
"eagwjheintz2","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","2018-08-13 10:53:41","58.9","0.0","-48.0","0.0"
"eagwkneas","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","2018-08-14 11:09:43","12.4","0.0","-8.3","0.0"
"eagmvmvc01","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","2017-10-09 10:19:35","89.4","0.0","71.6","0.0"
"eagwmlapera","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","2017-10-09 07:55:38","48.6","0.0","3.0","0.0"
"eagmutlsep01","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","2017-10-06 15:16:15","225.5","0.0","-888.2","0.0"
"eagpdc02","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","2017-10-09 10:19:35","28.8","0.0","-17.4","0.0"
"eagpdc01","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","2017-10-09 10:19:35","33.6","0.0","-19.3","0.0"
"eagpvshield02","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","2017-10-11 08:48:08","13.3","0.0","10.0","0.0"
"Call-DC01-01","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-09-04 08:31:15","13.0","0.0","60.9","0.0"
"Call-DC02-01","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-09-04 08:31:10","38.0","0.0","816.2","0.0"
"Call-DB01-01","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-09-04 08:31:11","33.0","0.0","-0.2","0.0"
"Call-DB2-VOIP-01","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-09-04 08:31:12","53.4","0.0","503.4","0.0"
"Call-HS3-VOIP-01","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-09-04 08:31:11","12.4","0.0","-105.5","0.0"
"ERP-BIDEVAPP01","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","Unprotected","","0.0","0.0","0.0","0.0"
"EAG-PFSENSE-ANR01","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-09-04 14:28:38","0.2","0.0","0.1","0.0"
"EAG-PFSENSE-ANR02","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-09-04 15:38:32","0.7","0.0","0.1","0.0"
"ERP-BUDDBDEV01","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","Unprotected","","0.0","0.0","0.0","0.0"
"JUD-OP-DB01","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-09-05 12:43:49","31.6","0.0","-343.5","0.0"
"JUD-OP-DB02","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-09-05 12:43:48","41.2","0.0","382.0","0.0"
"JUD-DR-OP-DB01","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-09-05 12:43:45","25.8","0.0","0.5","0.0"
"EDU-SQL","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","Unprotected","","0.0","0.0","0.0","0.0"
"ERP-NVISION","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-09-07 08:26:44","23.5","0.0","3.0","0.0"
"AHSORAD01D","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","Unprotected","","0.0","0.0","0.0","0.0"
"EAG-PFSENSE-AHS01","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-09-10 15:52:21","0.7","0.0","1.6","0.0"
"ANR-SATURN","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-09-10 17:27:34","5329.2","0.0","5366.9","0.0"
