Object Name,Object Type,Location,Cluster Location,SLA Domain,Organization,Data Reduction (%),Dedup Ratio,Logical Data Reduction (%),Logical Dedup Ratio,Protected On,Total Local Storage (GB),Total Archive Storage (GB),Local Storage Growth (MB/day),Archive Storage Growth (MB/day)
ERP-FMSBX1APP01,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,ERP,91.92,12.37,98.99,98.98,10/17/2018 16:33,8.7,0,-1974.6,0
ERP-FMSBX1APP01,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,91.92,12.37,98.99,98.98,10/17/2018 16:33,8.7,0,-1974.6,0
ERP-FMSBX1WEB01,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,ERP,99.61,258.09,99.95,2064.73,10/17/2018 16:33,0.4,0,52,0
ERP-FMSBX1WEB01,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,99.61,258.09,99.95,2064.73,10/17/2018 16:33,0.4,0,52,0
ERP-FMSITAPP01,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,ERP,78.82,4.72,97.98,49.39,6/22/2018 12:07,24.3,0,-31.1,0
ERP-FMSITAPP01,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,78.82,4.72,97.98,49.39,6/22/2018 12:07,24.3,0,-31.1,0
ERP-FMSITWEB01,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,ERP,62.35,2.66,97.06,34.02,6/22/2018 12:07,23.7,0,-67,0
ERP-FMSITWEB01,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,62.35,2.66,97.06,34.02,6/22/2018 12:07,23.7,0,-67,0
ERP-FMTRNAPP01,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,ERP,75.5,4.08,97.92,48.17,8/27/2018 12:41,31.2,0,92.3,0
ERP-FMTRNAPP01,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,75.5,4.08,97.92,48.17,8/27/2018 12:41,31.2,0,92.3,0
ERP-FMTRNWEB01,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,ERP,84.08,6.28,97.68,43.12,8/27/2018 13:12,37.3,0,978.2,0
ERP-FMTRNWEB01,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,84.08,6.28,97.68,43.12,8/27/2018 13:12,37.3,0,978.2,0
ERP-FMUAT2APP01,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,ERP,89.78,9.79,99.21,126.13,6/28/2018 14:21,11.9,0,188.5,0
ERP-FMUAT2APP01,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,89.78,9.79,99.21,126.13,6/28/2018 14:21,11.9,0,188.5,0
ERP-FMUAT2APP02,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,ERP,91.36,11.58,98.9,90.61,10/17/2018 14:33,9.5,0,141.3,0
ERP-FMUAT2APP02,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,91.36,11.58,98.9,90.61,10/17/2018 14:33,9.5,0,141.3,0
ERP-FMUAT2REP01,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,ERP,76.79,4.31,97.09,34.39,10/17/2018 14:44,25,0,44.5,0
ERP-FMUAT2REP01,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,76.79,4.31,97.09,34.39,10/17/2018 14:44,25,0,44.5,0
ERP-FMUAT2WEB01,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,ERP,88.45,8.66,99.15,117.55,6/28/2018 14:21,13.7,0,-281.6,0
ERP-FMUAT2WEB01,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,88.45,8.66,99.15,117.55,6/28/2018 14:21,13.7,0,-281.6,0
ERP-FMUAT2WEB02,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,ERP,98.89,90.06,99.86,704.63,10/17/2018 14:33,1.2,0,-2925.2,0
