"Object Name","Object Type","Location","Cluster Location","SLA Domain","Organization","Data Reduction (%)","Dedup Ratio","Logical Data Reduction (%)","Logical Dedup Ratio","Protected On","Total Local Storage (GB)","Total Archive Storage (GB)","Local Storage Growth (MB/day)","Archive Storage Growth (MB/day)"
"EAG-VLAN3724DMZ-pfSenseTest","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","72.70","3.66","97.53","40.50","2018-08-17 11:27:12","17.2","0.0","75.0","0.0"
"JUD-LogicMon","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","JUD","73.59","3.79","97.83","46.13","2018-08-28 08:14:28","17.5","0.0","23.7","0.0"
"JUD-LogicMon","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","73.59","3.79","97.83","46.13","2018-08-28 08:14:28","17.5","0.0","23.7","0.0"
"EDU-EDE-SQLDEV","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","EDU","98.36","60.82","99.89","908.71","2018-09-12 10:33:47","17.7","0.0","1.2","0.0"
"EDU-EDE-SQLDEV","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","98.36","60.82","99.89","908.71","2018-09-12 10:33:47","17.7","0.0","1.2","0.0"
"JUD-CMS-DC01","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","JUD","68.45","3.17","97.75","44.53","2018-08-14 12:15:04","18.1","0.0","-143.2","0.0"
"JUD-CMS-DC01","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","68.45","3.17","97.75","44.53","2018-08-14 12:15:04","18.1","0.0","-143.2","0.0"
"ENT-ISM-APP","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","ADS","83.25","5.97","97.19","35.62","2018-10-23 15:00:58","18.1","0.0","53.1","0.0"
"ENT-ISM-APP","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","83.25","5.97","97.19","35.62","2018-10-23 15:00:58","18.1","0.0","53.1","0.0"
"ENT-ISM-WEB","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","ADS","83.24","5.97","97.19","35.61","2018-10-23 15:16:24","18.1","0.0","52.6","0.0"
"ENT-ISM-WEB","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","83.24","5.97","97.19","35.61","2018-10-23 15:16:24","18.1","0.0","52.6","0.0"
"ENT-ISM-REP","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","ADS","83.19","5.95","97.18","35.49","2018-10-23 15:46:24","18.2","0.0","52.9","0.0"
"ENT-ISM-REP","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","83.19","5.95","97.18","35.49","2018-10-23 15:46:24","18.2","0.0","52.9","0.0"
"ENT-ISM-SQL","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","ADS","95.67","23.08","99.28","138.28","2018-10-23 15:46:24","18.6","0.0","-331.9","0.0"
"ENT-ISM-SQL","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","95.67","23.08","99.28","138.28","2018-10-23 15:46:24","18.6","0.0","-331.9","0.0"
"AOTADFS2","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","TV Two Weeks","DPS","70.40","3.38","97.32","37.38","2017-10-19 08:55:38","18.7","0.0","-11.8","0.0"
"AOTADFS2","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","70.40","3.38","97.32","37.38","2017-10-19 08:55:38","18.7","0.0","-11.8","0.0"
"EAG-JonTestpfSenseVM","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","66.83","3.02","97.67","42.93","2018-07-16 15:43:58","18.8","0.0","-185.6","0.0"
"ANR-TestSearch","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","ANR","78.88","4.74","98.41","62.91","2018-09-23 16:00:38","18.8","0.0","-3.4","0.0"
"ANR-TestSearch","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","78.88","4.74","98.41","62.91","2018-09-23 16:00:38","18.8","0.0","-3.4","0.0"
"JUD-DR-OP-EFILE01","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","JUD","88.50","8.69","99.22","128.52","2018-08-01 12:40:27","18.8","0.0","0.1","0.0"
"JUD-DR-OP-EFILE01","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","88.50","8.69","99.22","128.52","2018-08-01 12:40:27","18.8","0.0","0.1","0.0"
"ERP-FMDRCRY01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","68.93","3.22","97.66","42.72","2017-10-23 07:41:44","18.8","0.0","1.2","0.0"
"EAG-VLAN3723-pfSenseTest","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","69.24","3.25","97.46","39.39","2018-08-17 11:27:12","19.1","0.0","-1162.3","0.0"
"DPSETICKET2","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","TV Two Weeks","DPS","70.67","3.41","97.23","36.13","2017-10-24 08:45:30","19.3","0.0","-99.1","0.0"
"DPSETICKET2","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","70.67","3.41","97.23","36.13","2017-10-24 08:45:30","19.3","0.0","-99.1","0.0"
"ACCD-CVT-PROD","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","ACCD","81.19","5.32","98.49","66.36","2018-09-24 04:21:19","19.4","0.0","196.5","0.0"
"ACCD-CVT-PROD","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","81.19","5.32","98.49","66.36","2018-09-24 04:21:19","19.4","0.0","196.5","0.0"
"AGR-INDB2012","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","AGR","80.02","5.00","98.48","65.98","2018-08-17 10:08:35","19.5","0.0","-3.7","0.0"
"AGR-INDB2012","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","80.02","5.00","98.48","65.98","2018-08-17 10:08:35","19.5","0.0","-3.7","0.0"
"JUD-Jury-Web01","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","JUD","79.50","4.88","98.46","65.07","2018-08-28 08:14:28","19.8","0.0","-656.9","0.0"
"JUD-Jury-Web01","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","79.50","4.88","98.46","65.07","2018-08-28 08:14:28","19.8","0.0","-656.9","0.0"
"JUD-Jury-WEBold","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","JUD","62.92","2.70","97.49","39.80","2018-08-28 08:14:27","20.3","0.0","-0.4","0.0"
"JUD-Jury-WEBold","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","62.92","2.70","97.49","39.80","2018-08-28 08:14:27","20.3","0.0","-0.4","0.0"
"DPSGISWEB1","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","TV Two Weeks","DPS","68.28","3.15","97.04","33.74","2017-10-25 08:48:36","20.7","0.0","-63.8","0.0"
"DPSGISWEB1","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","68.28","3.15","97.04","33.74","2017-10-25 08:48:36","20.7","0.0","-63.8","0.0"
"JUD-VDICON1","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","JUD","69.60","3.29","97.23","36.10","2018-08-28 08:14:27","20.8","0.0","-651.2","0.0"
