Object Name,Object Type,Location,Cluster Location,SLA Domain,Organization,Data Reduction (%),Dedup Ratio,Logical Data Reduction (%),Logical Dedup Ratio,Protected On,Total Local Storage (GB),Total Archive Storage (GB),Local Storage Growth (MB/day),Archive Storage Growth (MB/day)
ENT-TenableFull-New,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,DII - EAS,86.81,7.58,98.87,88.25,8/2/2018 10:05,71.8,0,99.1,0
ENT-TenableFull-New,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,86.81,7.58,98.87,88.25,8/2/2018 10:05,71.8,0,99.1,0
ENT-TenableScan1,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Dave Fortin,23.05,1.3,90.49,10.51,1/23/2018 12:06,71.5,0,17.9,0
ENT-TenableScan1,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,DII - EAS,23.05,1.3,90.49,10.51,1/23/2018 12:06,71.5,0,17.9,0
ENT-TenableScan1,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,23.05,1.3,90.49,10.51,1/23/2018 12:06,71.5,0,17.9,0
ENT-TenableScan2,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Dave Fortin,21.6,1.28,89.65,9.66,1/23/2018 12:05,77.8,0,123.6,0
ENT-TenableScan2,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,DII - EAS,21.6,1.28,89.65,9.66,1/23/2018 12:05,77.8,0,123.6,0
ENT-TenableScan2,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,21.6,1.28,89.65,9.66,1/23/2018 12:05,77.8,0,123.6,0
ENT-TenableScan3,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Dave Fortin,48.22,1.93,88.81,8.94,1/23/2018 16:37,78.1,0,114.1,0
ENT-TenableScan3,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,DII - EAS,48.22,1.93,88.81,8.94,1/23/2018 16:37,78.1,0,114.1,0
ENT-TenableScan3,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,48.22,1.93,88.81,8.94,1/23/2018 16:37,78.1,0,114.1,0
ERP-AFARRELL-VM,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,ERP,66.35,2.97,97.69,43.26,10/24/2017 8:27,18.6,0,0,0
