"Object Name","Object Type","Location","Cluster Location","SLA Domain","Organization","Data Reduction (%)","Dedup Ratio","Logical Data Reduction (%)","Logical Dedup Ratio","Protected On","Total Local Storage (GB)","Total Archive Storage (GB)","Local Storage Growth (MB/day)","Archive Storage Growth (MB/day)"
"ENT-OPENVAS","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","DII - EAS","83.88","6.20","98.91","91.50","2017-10-24 08:24:06","8.8","0.0","0.3","0.0"
"ENT-OPENVAS","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","83.88","6.20","98.91","91.50","2017-10-24 08:24:06","8.8","0.0","0.3","0.0"
"Citrix VPX","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Dave Fortin","97.21","35.79","97.21","35.79","2017-10-23 07:32:18","9.0","0.0","10.1","0.0"
"Citrix VPX","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","DII - EAS","97.21","35.79","97.21","35.79","2017-10-23 07:32:18","9.0","0.0","10.1","0.0"
"Citrix VPX","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","97.21","35.79","97.21","35.79","2017-10-23 07:32:18","9.0","0.0","10.1","0.0"
"ENT-CA02","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Dave Fortin","85.22","6.77","98.93","93.76","2018-03-08 15:27:44","10.3","0.0","-1.6","0.0"
"ENT-CA02","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","DII - EAS","85.22","6.77","98.93","93.76","2018-03-08 15:27:44","10.3","0.0","-1.6","0.0"
"ENT-CA02","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","85.22","6.77","98.93","93.76","2018-03-08 15:27:44","10.3","0.0","-1.6","0.0"
"NCOLLINS-VM","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","ERP","64.62","2.83","97.17","35.35","2017-10-24 08:27:14","10.6","0.0","-25.5","0.0"
"NCOLLINS-VM","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","64.62","2.83","97.17","35.35","2017-10-24 08:27:14","10.6","0.0","-25.5","0.0"
"ENT-ACD-CCS","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Dave Fortin","79.87","4.97","98.66","74.50","2017-12-31 18:40:14","10.8","0.0","-0.0","0.0"
"ENT-ACD-CCS","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","DII - EAS","79.87","4.97","98.66","74.50","2017-12-31 18:40:14","10.8","0.0","-0.0","0.0"
"ENT-ACD-CCS","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","79.87","4.97","98.66","74.50","2017-12-31 18:40:14","10.8","0.0","-0.0","0.0"
"TAX-RSA02","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Dave Fortin","90.87","10.96","99.35","153.06","2017-10-23 07:46:12","10.9","0.0","0.2","0.0"
"TAX-RSA02","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","90.87","10.96","99.35","153.06","2017-10-23 07:46:12","10.9","0.0","0.2","0.0"
"eagmnlvca","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","95.81","23.88","99.68","315.20","2017-10-11 08:48:08","11.2","0.0","5.1","0.0"
"FMDEVCRY01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","ERP","82.62","5.75","98.50","66.83","2017-10-29 15:54:26","11.2","0.0","-992.9","0.0"
